AREA,AREA_TITLE,AREA_TYPE,PRIM_STATE,NAICS,NAICS_TITLE,I_GROUP,OWN_CODE,OCC_CODE,OCC_TITLE,Alias 1,Alias 2,Alias 3,Alias 4,Alias 5,O_GROUP,TOT_EMP,EMP_PRSE,JOBS_1000,LOC_QUOTIENT,PCT_TOTAL,PCT_RPT,H_MEAN,A_MEAN,MEAN_PRSE,H_PCT10,H_PCT25,H_MEDIAN,H_PCT75,H_PCT90,A_PCT10,A_PCT25,A_MEDIAN,A_PCT75,A_PCT90,ANNUAL,HOURLY
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,51-4081,"Multiple Machine Tool Setters, Operators, and Tenders, Metal and Plastic",,,,,,detailed,"127,790",1.4,,,,,21.15,"43,990",0.3,15.02,17.47,20,23.88,28.7,"31,240","36,330","41,600","49,660","59,700",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,51-4111,Tool and Die Makers,,,,,,detailed,"58,150",1.1,,,,,29.82,"62,020",0.3,19.5,23.59,29.56,35.59,39.29,"40,560","49,070","61,490","74,030","81,720",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,51-4121,"Welders, Cutters, Solderers, and Brazers",,,,,,detailed,"421,730",0.8,,,,,25.31,"52,640",0.2,17.71,20.56,23.53,28.8,35.08,"36,830","42,760","48,940","59,900","72,970",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,51-4122,"Welding, Soldering, and Brazing Machine Setters, Operators, and Tenders",,,,,,detailed,"33,020",2.7,,,,,22.65,"47,120",0.4,16.96,18.56,21.8,25.21,30.41,"35,270","38,600","45,350","52,430","63,260",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,51-4191,"Heat Treating Equipment Setters, Operators, and Tenders, Metal and Plastic",,,,,,detailed,"14,950",3.1,,,,,22.38,"46,540",0.7,16.76,18.43,21.27,24.8,29.53,"34,850","38,330","44,240","51,570","61,410",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,51-4192,"Layout Workers, Metal and Plastic",,,,,,detailed,"6,660",4.2,,,,,28.9,"60,110",0.7,19.94,23.16,29.94,32.01,38.16,"41,480","48,180","62,270","66,580","79,370",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,51-4193,"Plating Machine Setters, Operators, and Tenders, Metal and Plastic",,,,,,detailed,"31,970",2.4,,,,,20.46,"42,550",0.5,14.78,17.06,19.11,22.85,27.67,"30,730","35,480","39,740","47,530","57,550",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,51-4194,"Tool Grinders, Filers, and Sharpeners",,,,,,detailed,"6,660",4.3,,,,,23.33,"48,520",1,15.39,18.29,22.31,27.38,32.77,"32,020","38,030","46,410","56,950","68,150",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,51-4199,"Metal Workers and Plastic Workers, All Other",,,,,,detailed,"20,370",5,,,,,21.53,"44,780",0.7,15.66,17.75,19.81,23.51,29.36,"32,580","36,910","41,200","48,910","61,080",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,51-5111,Prepress Technicians and Workers,Prepress Techs and Workers,,,,,detailed,"23,590",2.7,,,,,22.38,"46,540",0.7,15.06,17.5,21.67,26.12,30.5,"31,330","36,390","45,070","54,330","63,440",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,51-5112,Printing Press Operators,,,,,,detailed,"151,450",1.1,,,,,21.37,"44,450",0.4,14.32,17.1,20.13,24.12,29.57,"29,790","35,560","41,860","50,160","61,500",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,51-5113,Print Binding and Finishing Workers,,,,,,detailed,"38,880",2.2,,,,,19.64,"40,860",0.6,14.05,16.6,18.32,22.47,26.97,"29,220","34,520","38,100","46,740","56,090",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,51-6011,Laundry and Dry-Cleaning Workers,,,,,,detailed,"185,000",0.9,,,,,15.33,"31,880",0.2,11.38,13.31,14.93,17.05,18.71,"23,670","27,690","31,050","35,460","38,920",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,51-6021,"Pressers, Textile, Garment, and Related Materials",,,,,,detailed,"28,700",3.4,,,,,15.55,"32,340",0.6,11.37,13.68,15.5,17.33,18.92,"23,650","28,460","32,240","36,050","39,360",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,51-6031,Sewing Machine Operators,,,,,,detailed,"116,130",1.3,,,,,16.83,"35,000",0.4,12.19,14.27,16.56,18.43,21.81,"25,360","29,690","34,440","38,340","45,360",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,51-6041,Shoe and Leather Workers and Repairers,,,,,,detailed,"7,230",7.2,,,,,17.8,"37,030",2,12.32,14.23,17.32,20.19,23.29,"25,620","29,600","36,020","41,990","48,440",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,51-6042,Shoe Machine Operators and Tenders,,,,,,detailed,"4,630",4.9,,,,,17.58,"36,570",0.8,13.44,14.62,17.78,20.5,21.82,"27,950","30,420","36,970","42,650","45,380",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,51-6051,"Sewers, Hand",,,,,,detailed,"3,390",11.9,,,,,16.28,"33,860",1.8,12.5,13.95,15.5,17.87,21.1,"26,000","29,020","32,240","37,170","43,880",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,51-6052,"Tailors, Dressmakers, and Custom Sewers",,,,,,detailed,"14,950",10.2,,,,,19.32,"40,190",1.1,13.25,15.3,17.62,21.4,26.83,"27,560","31,820","36,650","44,510","55,810",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,51-6061,Textile Bleaching and Dyeing Machine Operators and Tenders,,,,,,detailed,"6,650",7,,,,,18.06,"37,570",2.4,13.26,14.62,16.99,19.48,22.24,"27,580","30,410","35,340","40,520","46,260",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,51-6062,"Textile Cutting Machine Setters, Operators, and Tenders",,,,,,detailed,"9,760",2.7,,,,,17.81,"37,040",0.6,13.24,15.14,17.61,19.76,22.49,"27,540","31,490","36,620","41,100","46,790",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,51-6063,"Textile Knitting and Weaving Machine Setters, Operators, and Tenders",,,,,,detailed,"15,980",2.7,,,,,18.21,"37,880",0.9,13.8,15.36,17.85,20.13,22.57,"28,700","31,950","37,130","41,860","46,940",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,51-6064,"Textile Winding, Twisting, and Drawing Out Machine Setters, Operators, and Tenders",,,,,,detailed,"23,550",1.7,,,,,17.84,"37,100",0.6,14.2,15.84,17.08,19.12,22.52,"29,530","32,950","35,530","39,780","46,840",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,51-6091,"Extruding and Forming Machine Setters, Operators, and Tenders, Synthetic and Glass Fibers",,,,,,detailed,"14,520",3.6,,,,,21.77,"45,270",0.5,16.11,18.26,21.17,24.03,29.03,"33,510","37,980","44,030","49,990","60,380",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,51-6092,Fabric and Apparel Patternmakers,,,,,,detailed,"2,670",7.4,,,,,32.09,"66,750",4.3,15.28,19.6,30.05,39.59,51.38,"31,780","40,760","62,510","82,340","106,870",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,51-6093,Upholsterers,,,,,,detailed,"25,740",2,,,,,21.55,"44,820",0.7,14.64,17.35,20.54,23.91,29.71,"30,450","36,090","42,730","49,740","61,800",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,51-6099,"Textile, Apparel, and Furnishings Workers, All Other",,,,,,detailed,"15,080",3.9,,,,,18,"37,430",1.1,13.48,14.5,16.89,19.57,23.95,"28,030","30,150","35,130","40,710","49,810",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,51-7011,Cabinetmakers and Bench Carpenters,,,,,,detailed,"88,460",1.6,,,,,21.45,"44,620",0.4,14.83,17.57,20.8,23.78,29.23,"30,850","36,550","43,260","49,470","60,800",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,51-7021,Furniture Finishers,,,,,,detailed,"14,380",2.6,,,,,20.43,"42,490",0.6,14.26,16.82,19.13,22.9,27.46,"29,660","34,980","39,790","47,640","57,120",,
99,U.S.,1,US,000000,Cross-industry,cross-industry,1235,51-7031,"Model Makers, Wood",,,,,,detailed,590,14.1,,,,,25.25,"52,510",3.7,16.29,18,21.66,30.65,40.43,"33,880","37,440","45,040","63,740","84,090",,
