The state associated with the return,The State Federal Information Processing System (FIPS) code,zipcode,Number of returns,Number of joint returns,Number of head of household returns,Number of individuals,Number of elderly returns,Adjusted gross income (AGI),Number of returns with total income, Total income amount ,Total Income Tax,Mean Income,agi_stub_count,note
MS,28,38756,2500,580,770,4790,620,140273,2500," 141,979 ",13726," 56,791.60 ",6,Sum of all income groups (agi_stubs 1-6)
MS,28,38759,560,220,100,1110,170,41469,560," 41,945 ",4600," 74,901.79 ",6,Sum of all income groups (agi_stubs 1-6)
MS,28,38761,710,70,330,1380,140,23590,710, 23833.000200000002 ,1241," 33,567.61 ",6,Sum of all income groups (agi_stubs 1-6)
MS,28,38762,780,40,320,1440,190,23705,780, 23858.000200000002 ,1091," 30,587.18 ",6,Sum of all income groups (agi_stubs 1-6)
MS,28,38769,790,80,330,1500,190,30688,790," 30,852 ",2123," 39,053.16 ",6,Sum of all income groups (agi_stubs 1-6)
MS,28,38771,1130,120,430,2110,250,41842,1130," 42,303 ",2955," 37,436.28 ",6,Sum of all income groups (agi_stubs 1-6)
MS,28,38773,1060,180,390,2020,280,44679,1060, 45185.000100000005 ,2950," 42,627.36 ",6,Sum of all income groups (agi_stubs 1-6)
MS,28,38774,890,90,360,1660,200,31820,890," 32,043 ",1621," 36,003.37 ",6,Sum of all income groups (agi_stubs 1-6)
MS,28,38778,500,70,210,1010,90,19680,500," 19,805 ",1249," 39,610.00 ",6,Sum of all income groups (agi_stubs 1-6)
MS,28,38801,12340,3460,3120,23940,2840,808049,12340," 816,113 ",92521," 66,135.58 ",6,Sum of all income groups (agi_stubs 1-6)
MS,28,38804,7370,2400,1400,14010,1710,602351,7370," 609,744 ",80318," 82,733.24 ",6,Sum of all income groups (agi_stubs 1-6)
MS,28,38821,4920,1920,930,10020,1280,299409,4920," 302,362 ",26367," 61,455.69 ",6,Sum of all income groups (agi_stubs 1-6)
MS,28,38824,3300,1150,690,6500,780,167265,3300," 168,611 ",12468," 51,094.24 ",6,Sum of all income groups (agi_stubs 1-6)
MS,28,38826,2470,940,400,4830,640,222598,2470," 224,681 ",29685," 90,963.97 ",6,Sum of all income groups (agi_stubs 1-6)
MS,28,38827,1090,460,170,2240,250,61323,1090," 61,709 ",4520," 56,613.76 ",6,Sum of all income groups (agi_stubs 1-6)
MS,28,38828,1910,820,330,4010,410,109433,1910," 110,182 ",8527," 57,686.91 ",6,Sum of all income groups (agi_stubs 1-6)
MS,28,38829,6930,2680,1250,14170,1570,369351,6930," 372,732 ",28552," 53,785.28 ",6,Sum of all income groups (agi_stubs 1-6)
MS,28,38833,840,310,160,1720,170,38860,840, 39062.000199999995 ,2529," 46,502.38 ",6,Sum of all income groups (agi_stubs 1-6)
MS,28,38834,10270,3760,1950,20580,2490,637750,10270," 644,074 ",63787," 62,714.12 ",6,Sum of all income groups (agi_stubs 1-6)
MS,28,38838,540,270,70,1120,140,29237,540," 29,398 ",2054," 54,440.74 ",6,Sum of all income groups (agi_stubs 1-6)
MS,28,38841,1420,500,300,2910,270,68968,1420," 69,522 ",4764," 48,959.15 ",6,Sum of all income groups (agi_stubs 1-6)
MS,28,38843,4570,1840,780,9170,1100,278563,4570," 280,507 ",24916," 61,380.09 ",6,Sum of all income groups (agi_stubs 1-6)
MS,28,38846,820,350,120,1630,210,41871,820, 42091.000100000005 ,2906," 51,330.49 ",6,Sum of all income groups (agi_stubs 1-6)
MS,28,38847,1300,560,190,2630,300,68360,1300," 68,741 ",4965," 52,877.69 ",6,Sum of all income groups (agi_stubs 1-6)
MS,28,38848,300,170,50,650,80,18580,300," 18,712 ",1399," 62,373.33 ",6,Sum of all income groups (agi_stubs 1-6)
MS,28,38849,2590,1010,460,5320,480,161125,2590," 162,228 ",13646," 62,636.29 ",6,Sum of all income groups (agi_stubs 1-6)
MS,28,38850,1350,410,340,2730,250,61153,1350," 61,761 ",4059," 45,748.89 ",6,Sum of all income groups (agi_stubs 1-6)
MS,28,38851,3440,980,940,6740,750,189672,3440," 191,715 ",19035," 55,731.10 ",6,Sum of all income groups (agi_stubs 1-6)
MS,28,38852,3640,1630,520,7390,1100,218173,3640," 219,877 ",18211," 60,405.77 ",6,Sum of all income groups (agi_stubs 1-6)
MS,28,38855,1990,850,280,3990,460,111638,1990," 112,436 ",8378," 56,500.50 ",6,Sum of all income groups (agi_stubs 1-6)
MS,28,38856,710,340,80,1450,170,44214,710, 44413.000100000005 ,3332," 62,553.52 ",6,Sum of all income groups (agi_stubs 1-6)
MS,28,38857,1700,770,250,3610,340,108827,1700," 109,624 ",9080," 64,484.71 ",6,Sum of all income groups (agi_stubs 1-6)
MS,28,38858,2710,970,610,5430,560,131400,2710," 132,245 ",8962," 48,798.89 ",6,Sum of all income groups (agi_stubs 1-6)
MS,28,38859,260,110,40,530,60,11776,260," 11,832 ",699," 45,507.69 ",6,Sum of all income groups (agi_stubs 1-6)
MS,28,38860,2360,410,810,4330,490,90116,2360," 90,939 ",5411," 38,533.47 ",6,Sum of all income groups (agi_stubs 1-6)
MS,28,38862,1040,340,220,1960,260,50949,1040," 51,570 ",3553," 49,586.54 ",6,Sum of all income groups (agi_stubs 1-6)
MS,28,38863,8530,3210,1680,17760,1720,469064,8530," 473,343 ",37941," 55,491.56 ",6,Sum of all income groups (agi_stubs 1-6)
MS,28,38864,550,260,70,1180,130,31700,550," 32,084 ",2382," 58,334.55 ",6,Sum of all income groups (agi_stubs 1-6)
MS,28,38865,1930,770,340,4000,430,100271,1930," 100,945 ",7133," 52,303.11 ",6,Sum of all income groups (agi_stubs 1-6)
MS,28,38866,5480,2320,850,11100,1360,406722,5480," 410,282 ",42024," 74,868.98 ",6,Sum of all income groups (agi_stubs 1-6)
MS,28,38868,2230,580,620,4210,470,102977,2230," 103,853 ",7455," 46,570.85 ",6,Sum of all income groups (agi_stubs 1-6)
MS,28,38870,1150,480,160,2350,260,70007,1150," 70,392 ",5769," 61,210.43 ",6,Sum of all income groups (agi_stubs 1-6)
MS,28,38871,830,380,110,1680,190,47160,830," 47,428 ",3715," 57,142.17 ",6,Sum of all income groups (agi_stubs 1-6)
MS,28,38873,1070,480,140,2170,280,61503,1070," 61,797 ",5173," 57,754.21 ",6,Sum of all income groups (agi_stubs 1-6)
MS,28,38876,530,200,90,1070,110,31948,530," 32,090 ",2605," 60,547.17 ",6,Sum of all income groups (agi_stubs 1-6)
MS,28,38878,1170,350,290,2330,250,52914,1170," 53,509 ",2859," 45,734.19 ",6,Sum of all income groups (agi_stubs 1-6)
MS,28,38901,7470,2000,2120,14500,1750,416487,7470," 419,759 ",40213," 56,192.64 ",6,Sum of all income groups (agi_stubs 1-6)
MS,28,38913,170,60,20,320,50,7345,170, 7356.000300000001 ,436," 43,270.59 ",6,Sum of all income groups (agi_stubs 1-6)
MS,28,38914,170,70,40,350,50,7828,170," 7,879 ",479," 46,347.06 ",6,Sum of all income groups (agi_stubs 1-6)
MS,28,38915,1440,490,370,2930,370,69083,1440," 69,803 ",4749," 48,474.31 ",6,Sum of all income groups (agi_stubs 1-6)
MS,28,38916,1760,520,540,3520,440,80207,1760," 81,071 ",5461," 46,063.07 ",6,Sum of all income groups (agi_stubs 1-6)
MS,28,38917,1290,560,240,2630,450,80714,1290," 81,547 ",6937," 63,214.73 ",6,Sum of all income groups (agi_stubs 1-6)
MS,28,38920,270,100,50,490,70,11184,270," 11,264 ",726," 41,718.52 ",6,Sum of all income groups (agi_stubs 1-6)
MS,28,38921,1740,270,660,3390,360,70597,1740," 71,514 ",4823," 41,100.00 ",6,Sum of all income groups (agi_stubs 1-6)
MS,28,38922,1260,310,400,2400,340,53801,1260, 54054.000199999995 ,3684," 42,900.00 ",6,Sum of all income groups (agi_stubs 1-6)
MS,28,38923,460,140,120,860,140,20992,460," 21,108 ",1388," 45,886.96 ",6,Sum of all income groups (agi_stubs 1-6)
MS,28,38924,260,40,100,490,70,10415,260," 10,463 ",585," 40,242.31 ",6,Sum of all income groups (agi_stubs 1-6)
MS,28,38925,840,270,200,1650,220,41024,840, 41308.000100000005 ,2918," 49,176.19 ",6,Sum of all income groups (agi_stubs 1-6)
MS,28,38927,430,150,100,860,130,22324,430," 22,470 ",1620," 52,255.81 ",6,Sum of all income groups (agi_stubs 1-6)
MS,28,38928,190,0,70,340,40,11338,190, 11365.000100000001 ,948," 59,815.79 ",6,Sum of all income groups (agi_stubs 1-6)
MS,28,38929,520,140,140,950,160,24811,520," 24,935 ",1921," 47,951.92 ",6,Sum of all income groups (agi_stubs 1-6)
MS,28,38930,8960,1560,3370,17380,1980,459467,8960," 464,600 ",45140," 51,852.68 ",6,Sum of all income groups (agi_stubs 1-6)
MS,28,38940,880,330,180,1730,210,46853,880, 47166.000100000005 ,3516," 53,597.73 ",6,Sum of all income groups (agi_stubs 1-6)
MS,28,38941,1560,170,670,2890,280,55467,1560, 55877.000100000005 ,3206," 35,818.59 ",6,Sum of all income groups (agi_stubs 1-6)
MS,28,38943,340,150,60,660,110,22489,340," 22,628 ",2458," 66,552.94 ",6,Sum of all income groups (agi_stubs 1-6)
MS,28,38944,130,40,30,270,40,5902,130," 5,962 ",384," 45,861.54 ",6,Sum of all income groups (agi_stubs 1-6)
MS,28,38948,850,260,230,1620,260,40694,850, 40967.000100000005 ,3052," 48,196.47 ",6,Sum of all income groups (agi_stubs 1-6)
MS,28,38949,130,50,0,220,30,6092,130," 6,117 ",435," 47,053.85 ",6,Sum of all income groups (agi_stubs 1-6)
MS,28,38950,110,30,30,200,40,3848,110," 3,848 ",201," 34,981.82 ",6,Sum of all income groups (agi_stubs 1-6)
MS,28,38951,410,120,110,790,90,16689,410, 16852.000200000002 ,974," 41,102.44 ",6,Sum of all income groups (agi_stubs 1-6)
MS,28,38952,180,50,60,370,60,10093,180," 10,153 ",842," 56,405.56 ",6,Sum of all income groups (agi_stubs 1-6)
MS,28,38953,240,110,40,470,70,13551,240," 13,630 ",1039," 56,791.67 ",6,Sum of all income groups (agi_stubs 1-6)
MS,28,38954,390,70,180,820,90,13512,390," 13,609 ",609," 34,894.87 ",6,Sum of all income groups (agi_stubs 1-6)
MS,28,38961,430,150,110,840,110,19873,430," 19,957 ",1360," 46,411.63 ",6,Sum of all income groups (agi_stubs 1-6)
MS,28,38963,620,80,250,1220,120,22748,620, 23124.000200000002 ,1296," 37,296.77 ",6,Sum of all income groups (agi_stubs 1-6)
MS,28,38965,3840,1350,790,7460,1040,210672,3840," 212,882 ",16995," 55,438.02 ",6,Sum of all income groups (agi_stubs 1-6)
MS,28,38967,2670,740,800,5240,720,132455,2670," 133,667 ",9917," 50,062.55 ",6,Sum of all income groups (agi_stubs 1-6)
MS,28,39038,2110,300,850,4110,450,84209,2110, 85252.00020000001 ,6555," 40,403.79 ",6,Sum of all income groups (agi_stubs 1-6)
MS,28,39039,990,340,190,1880,290,63568,990, 64103.000199999995 ,5720," 64,750.51 ",6,Sum of all income groups (agi_stubs 1-6)
MS,28,39040,1260,450,260,2500,360,74534,1260," 74,964 ",6687," 59,495.24 ",6,Sum of all income groups (agi_stubs 1-6)
MS,28,39041,1560,350,410,2770,490,80767,1560," 81,418 ",5757," 52,191.03 ",6,Sum of all income groups (agi_stubs 1-6)
MS,28,39042,16760,6950,2480,33310,4520,1300423,16760," 1,311,785 ",131127," 78,268.79 ",6,Sum of all income groups (agi_stubs 1-6)
MS,28,39044,1550,600,230,3040,380,82974,1550," 83,568 ",6671," 53,914.84 ",6,Sum of all income groups (agi_stubs 1-6)
MS,28,39045,580,70,200,1050,120,21270,580, 21354.000200000002 ,1150," 36,817.24 ",6,Sum of all income groups (agi_stubs 1-6)
MS,28,39046,12880,2730,4080,24910,2410,716265,12880," 723,048 ",63477," 56,137.27 ",6,Sum of all income groups (agi_stubs 1-6)
MS,28,39047,17970,7650,2310,35600,4930,1689466,17970," 1,706,848 ",200001," 94,983.19 ",6,Sum of all income groups (agi_stubs 1-6)
MS,28,39051,6070,1710,1600,12240,1350,305120,6070," 308,344 ",23284," 50,798.02 ",6,Sum of all income groups (agi_stubs 1-6)
MS,28,39054,180,40,50,330,60,8508,180," 8,539 ",709," 47,438.89 ",6,Sum of all income groups (agi_stubs 1-6)
MS,28,39056,12150,4130,2420,23720,3240,957536,12150," 967,483 ",108623," 79,628.23 ",6,Sum of all income groups (agi_stubs 1-6)
MS,28,39057,990,280,240,2100,150,43794,990, 44016.000100000005 ,2955," 44,460.61 ",6,Sum of all income groups (agi_stubs 1-6)
MS,28,39059,4710,1250,1290,9030,1220,234522,4710," 236,404 ",18588," 50,191.93 ",6,Sum of all income groups (agi_stubs 1-6)
MS,28,39063,1170,150,490,2300,240,38834,1170," 39,111 ",2006," 33,428.21 ",6,Sum of all income groups (agi_stubs 1-6)
MS,28,39066,1820,370,530,3260,500,87972,1820," 88,539 ",6826," 48,647.80 ",6,Sum of all income groups (agi_stubs 1-6)
MS,28,39067,490,190,80,1000,140,22961,490, 23075.000200000002 ,1490," 47,091.84 ",6,Sum of all income groups (agi_stubs 1-6)
MS,28,39069,1980,200,920,3780,450,75082,1980," 75,534 ",4601," 38,148.48 ",6,Sum of all income groups (agi_stubs 1-6)
MS,28,39071,2540,900,480,4940,670,232675,2540," 235,537 ",32660," 92,731.10 ",6,Sum of all income groups (agi_stubs 1-6)
MS,28,39073,8590,3510,1330,17350,2220,552645,8590," 556,695 ",48039," 64,807.33 ",6,Sum of all income groups (agi_stubs 1-6)
MS,28,39074,5620,1240,1850,11480,1130,264957,5620," 267,093 ",20580," 47,525.44 ",6,Sum of all income groups (agi_stubs 1-6)
MS,28,39078,300,70,90,580,60,12781,300," 12,822 ",898," 42,740.00 ",6,Sum of all income groups (agi_stubs 1-6)
MS,28,39079,590,90,210,1100,140,22361,590, 22536.000200000002 ,1496," 38,196.61 ",6,Sum of all income groups (agi_stubs 1-6)
MS,28,39082,490,200,90,940,140,26363,490," 26,509 ",2058," 54,100.00 ",6,Sum of all income groups (agi_stubs 1-6)
MS,28,39083,3810,810,1290,7380,920,170523,3810," 171,952 ",13238," 45,131.76 ",6,Sum of all income groups (agi_stubs 1-6)
MS,28,39086,730,70,350,1450,150,25145,730," 25,253 ",1262," 34,593.15 ",6,Sum of all income groups (agi_stubs 1-6)
MS,28,39090,4950,1400,1350,9930,1230,273046,4950," 275,429 ",24794," 55,642.22 ",6,Sum of all income groups (agi_stubs 1-6)
MS,28,39092,1210,400,300,2540,250,59577,1210, 60006.000100000005 ,4229," 49,591.74 ",6,Sum of all income groups (agi_stubs 1-6)
MS,28,39094,1490,480,360,2990,330,82631,1490," 83,250 ",6120," 55,872.48 ",6,Sum of all income groups (agi_stubs 1-6)
MS,28,39095,2480,350,980,4790,580,98280,2480," 99,265 ",6816," 40,026.21 ",6,Sum of all income groups (agi_stubs 1-6)
MS,28,39096,650,80,250,1170,180,26418,650, 26533.000200000002 ,1837," 40,820.00 ",6,Sum of all income groups (agi_stubs 1-6)
MS,28,39097,260,30,110,470,60,8410,260," 8,464 ",421," 32,553.85 ",6,Sum of all income groups (agi_stubs 1-6)
MS,28,39108,730,270,150,1430,180,35775,730," 35,945 ",2617," 49,239.73 ",6,Sum of all income groups (agi_stubs 1-6)
MS,28,39110,22440,11730,1870,48030,7130,3305825,22440," 3,352,574 ",508239," 149,401.69 ",6,Sum of all income groups (agi_stubs 1-6)
MS,28,39111,3680,1180,860,7290,970,197742,3680," 199,553 ",17086," 54,226.36 ",6,Sum of all income groups (agi_stubs 1-6)
MS,28,39114,3870,1310,840,7710,960,218313,3870," 220,314 ",19319," 56,928.68 ",6,Sum of all income groups (agi_stubs 1-6)
MS,28,39116,990,480,150,2180,240,60920,990," 61,351 ",5257," 61,970.71 ",6,Sum of all income groups (agi_stubs 1-6)
MS,28,39117,3740,1300,920,7920,810,201365,3740," 202,701 ",16620," 54,198.13 ",6,Sum of all income groups (agi_stubs 1-6)
MS,28,39119,2130,590,600,4310,470,101852,2130," 102,676 ",7852," 48,204.69 ",6,Sum of all income groups (agi_stubs 1-6)
MS,28,39120,10450,2410,3090,19470,3170,574108,10450," 581,063 ",56502," 55,604.11 ",6,Sum of all income groups (agi_stubs 1-6)
MS,28,39140,890,280,240,1750,260,44387,890, 44626.000100000005 ,3238," 50,141.57 ",6,Sum of all income groups (agi_stubs 1-6)
MS,28,39144,430,50,200,840,80,15074,430," 15,102 ",772," 35,120.93 ",6,Sum of all income groups (agi_stubs 1-6)
MS,28,39145,2260,930,380,4690,570,149267,2260," 150,696 ",13046," 66,679.65 ",6,Sum of all income groups (agi_stubs 1-6)
MS,28,39146,970,130,380,1870,210,38754,970, 39039.000199999995 ,2675," 40,246.39 ",6,Sum of all income groups (agi_stubs 1-6)
MS,28,39149,640,170,170,1220,160,29441,640," 29,567 ",2183," 46,198.44 ",6,Sum of all income groups (agi_stubs 1-6)
MS,28,39150,2130,240,920,4000,540,84536,2130," 85,107 ",5563," 39,956.34 ",6,Sum of all income groups (agi_stubs 1-6)
MS,28,39152,460,160,90,930,130,24772,460," 24,953 ",1870," 54,245.65 ",6,Sum of all income groups (agi_stubs 1-6)
MS,28,39153,1270,500,270,2680,350,69801,1270," 70,251 ",5407," 55,315.75 ",6,Sum of all income groups (agi_stubs 1-6)
MS,28,39154,3770,1420,590,6980,1330,265117,3770," 267,079 ",26202," 70,843.24 ",6,Sum of all income groups (agi_stubs 1-6)
MS,28,39156,200,70,40,350,70,11684,200," 11,729 ",988," 58,645.00 ",6,Sum of all income groups (agi_stubs 1-6)
MS,28,39157,11280,3090,2200,19870,3050,1548197,11280," 1,568,585 ",291296," 139,058.95 ",6,Sum of all income groups (agi_stubs 1-6)
MS,28,39159,950,190,340,1830,270,48393,950," 49,043 ",4404," 51,624.21 ",6,Sum of all income groups (agi_stubs 1-6)
MS,28,39160,1100,270,330,2130,220,50310,1100, 50730.000199999995 ,3509," 46,118.18 ",6,Sum of all income groups (agi_stubs 1-6)
MS,28,39166,170,40,50,330,50,9027,170," 9,053 ",726," 53,252.94 ",6,Sum of all income groups (agi_stubs 1-6)
MS,28,39168,2550,730,710,5060,600,122903,2550," 123,880 ",8777," 48,580.39 ",6,Sum of all income groups (agi_stubs 1-6)
MS,28,39169,1000,60,510,1970,180,30942,1000, 31140.000200000002 ,1327," 31,140.00 ",6,Sum of all income groups (agi_stubs 1-6)
MS,28,39170,4440,1620,750,8190,1500,298411,4440," 300,481 ",29352," 67,675.90 ",6,Sum of all income groups (agi_stubs 1-6)
MS,28,39175,1920,460,540,3490,540,88316,1920," 88,879 ",6637," 46,291.15 ",6,Sum of all income groups (agi_stubs 1-6)
MS,28,39176,730,200,230,1430,220,34986,730," 35,158 ",2443," 48,161.64 ",6,Sum of all income groups (agi_stubs 1-6)
MS,28,39179,470,110,170,920,130,27195,470," 27,512 ",2431," 58,536.17 ",6,Sum of all income groups (agi_stubs 1-6)
MS,28,39180,12690,3190,3640,24110,3390,751370,12690," 757,191 ",71617," 59,668.32 ",6,Sum of all income groups (agi_stubs 1-6)
MS,28,39183,5860,1830,1510,11560,1650,366978,5860," 370,027 ",34525," 63,144.54 ",6,Sum of all income groups (agi_stubs 1-6)
MS,28,39189,1410,360,400,2960,220,59863,1410," 60,311 ",3730," 42,773.76 ",6,Sum of all income groups (agi_stubs 1-6)
MS,28,39191,3180,1290,540,6570,760,195542,3180," 196,898 ",17965," 61,917.61 ",6,Sum of all income groups (agi_stubs 1-6)
MS,28,39192,570,170,150,1120,180,28227,570," 28,414 ",2100," 49,849.12 ",6,Sum of all income groups (agi_stubs 1-6)
MS,28,39194,5960,1060,2260,11920,1280,257664,5960," 260,556 ",19322," 43,717.45 ",6,Sum of all income groups (agi_stubs 1-6)
MS,28,39201,250,30,30,350,50,53051,250," 53,481 ",10669," 213,924.00 ",6,Sum of all income groups (agi_stubs 1-6)
MS,28,39202,2780,520,540,4530,560,195897,2780," 199,925 ",26900," 71,915.47 ",6,Sum of all income groups (agi_stubs 1-6)
MS,28,39203,1460,60,560,2610,240,36731,1460," 37,000 ",1462," 25,342.47 ",6,Sum of all income groups (agi_stubs 1-6)
MS,28,39204,5320,360,2220,10270,740,150123,5320," 151,722 ",6822," 28,519.17 ",6,Sum of all income groups (agi_stubs 1-6)
MS,28,39206,9190,1140,3000,16210,2250,390596,9190," 394,122 ",30504," 42,885.96 ",6,Sum of all income groups (agi_stubs 1-6)
MS,28,39208,13050,3660,2940,24570,2890,702433,13050," 708,116 ",56837," 54,261.76 ",6,Sum of all income groups (agi_stubs 1-6)
MS,28,39209,9800,980,3550,17950,2020,315775,9800," 318,259 ",17885," 32,475.41 ",6,Sum of all income groups (agi_stubs 1-6)
MS,28,39211,11250,3090,2330,20710,2860,1305636,11250," 1,326,270 ",209592," 117,890.67 ",6,Sum of all income groups (agi_stubs 1-6)
MS,28,39212,12060,1470,4350,22470,2230,459742,12060," 463,439 ",29545," 38,427.78 ",6,Sum of all income groups (agi_stubs 1-6)
MS,28,39213,7520,670,2780,13510,1850,246771,7520," 248,772 ",14356," 33,081.38 ",6,Sum of all income groups (agi_stubs 1-6)
MS,28,39216,1580,440,240,2730,430,205656,1580," 210,239 ",35240," 133,062.66 ",6,Sum of all income groups (agi_stubs 1-6)
MS,28,39218,2970,940,640,5700,660,156271,2970," 157,312 ",12296," 52,967.00 ",6,Sum of all income groups (agi_stubs 1-6)
MS,28,39232,4010,1510,490,7500,1060,510046,4010," 515,920 ",81564," 128,658.35 ",6,Sum of all income groups (agi_stubs 1-6)
MS,28,39272,6510,1180,2010,11700,1150,328774,6510," 331,147 ",24819," 50,867.43 ",6,Sum of all income groups (agi_stubs 1-6)
MS,28,39301,8750,2490,1970,16980,2090,442985,8750," 447,691 ",37165," 51,164.69 ",6,Sum of all income groups (agi_stubs 1-6)
MS,28,39305,8420,2960,1620,16350,2500,865474,8420," 873,767 ",104205," 103,772.80 ",6,Sum of all income groups (agi_stubs 1-6)
MS,28,39307,5670,920,1800,10620,1220,198195,5670," 200,367 ",12274," 35,338.10 ",6,Sum of all income groups (agi_stubs 1-6)
MS,28,39320,710,320,90,1450,220,58667,710," 59,074 ",6637," 83,202.82 ",6,Sum of all income groups (agi_stubs 1-6)
MS,28,39322,740,250,210,1580,160,38133,740, 38444.000199999995 ,3194," 51,951.35 ",6,Sum of all income groups (agi_stubs 1-6)
MS,28,39323,510,270,50,1080,170,27947,510," 28,083 ",2111," 55,064.71 ",6,Sum of all income groups (agi_stubs 1-6)
MS,28,39325,2620,1220,330,5360,750,190501,2620," 192,078 ",19061," 73,312.21 ",6,Sum of all income groups (agi_stubs 1-6)
MS,28,39326,260,90,50,470,90,14606,260," 14,632 ",1392," 56,276.92 ",6,Sum of all income groups (agi_stubs 1-6)
MS,28,39327,1570,640,270,3250,390,95838,1570," 96,451 ",8375," 61,433.76 ",6,Sum of all income groups (agi_stubs 1-6)
MS,28,39328,1770,370,500,3170,480,72550,1770," 73,210 ",4797," 41,361.58 ",6,Sum of all income groups (agi_stubs 1-6)
MS,28,39330,1190,520,200,2560,300,75172,1190," 75,711 ",6157," 63,622.69 ",6,Sum of all income groups (agi_stubs 1-6)
MS,28,39332,730,300,110,1450,190,46673,730," 46,959 ",4535," 64,327.40 ",6,Sum of all income groups (agi_stubs 1-6)
MS,28,39335,1300,370,270,2280,370,67698,1300," 68,214 ",5931," 52,472.31 ",6,Sum of all income groups (agi_stubs 1-6)
MS,28,39336,520,170,140,1040,140,22289,520," 22,421 ",1409," 43,117.31 ",6,Sum of all income groups (agi_stubs 1-6)
MS,28,39337,690,320,80,1430,200,38626,690, 38791.000100000005 ,2692," 56,218.84 ",6,Sum of all income groups (agi_stubs 1-6)
MS,28,39338,1190,310,380,2410,260,55026,1190," 55,419 ",3822," 46,570.59 ",6,Sum of all income groups (agi_stubs 1-6)
MS,28,39339,5850,1650,1490,11380,1600,310036,5850," 312,904 ",27573," 53,487.86 ",6,Sum of all income groups (agi_stubs 1-6)
MS,28,39341,2660,510,880,5180,550,112967,2660," 114,976 ",8165," 43,224.06 ",6,Sum of all income groups (agi_stubs 1-6)
MS,28,39342,730,190,220,1420,160,52028,730," 52,550 ",7034," 71,986.30 ",6,Sum of all income groups (agi_stubs 1-6)
MS,28,39345,2590,610,770,4940,570,117035,2590," 117,840 ",8874," 45,498.07 ",6,Sum of all income groups (agi_stubs 1-6)
MS,28,39346,870,270,160,1660,240,41567,870, 41847.000100000005 ,2909," 48,100.00 ",6,Sum of all income groups (agi_stubs 1-6)
MS,28,39347,570,180,150,1080,190,31691,570," 31,789 ",2962," 55,770.18 ",6,Sum of all income groups (agi_stubs 1-6)
MS,28,39348,260,20,110,480,40,7880,260," 7,916 ",315," 30,446.15 ",6,Sum of all income groups (agi_stubs 1-6)
MS,28,39350,10120,2850,2320,20300,2140,587174,10120," 592,149 ",66338," 58,512.75 ",6,Sum of all income groups (agi_stubs 1-6)
MS,28,39352,330,60,120,590,70,12262,330," 12,386 ",696," 37,533.33 ",6,Sum of all income groups (agi_stubs 1-6)
MS,28,39354,690,240,140,1370,190,32904,690, 33152.000100000005 ,2206," 48,046.38 ",6,Sum of all income groups (agi_stubs 1-6)
MS,28,39355,2500,930,520,4980,740,137543,2500," 138,694 ",11280," 55,477.60 ",6,Sum of all income groups (agi_stubs 1-6)
MS,28,39356,250,90,40,460,70,12335,250," 12,379 ",878," 49,516.00 ",6,Sum of all income groups (agi_stubs 1-6)
MS,28,39358,510,110,150,930,140,21382,510," 21,448 ",1389," 42,054.90 ",6,Sum of all income groups (agi_stubs 1-6)
MS,28,39360,1460,310,500,2890,310,61765,1460," 62,300 ",3844," 42,671.23 ",6,Sum of all income groups (agi_stubs 1-6)
MS,28,39361,500,90,180,910,120,22472,500," 22,597 ",1951," 45,194.00 ",6,Sum of all income groups (agi_stubs 1-6)
MS,28,39362,1040,300,380,2200,220,47466,1040," 47,720 ",3242," 45,884.62 ",6,Sum of all income groups (agi_stubs 1-6)
MS,28,39363,590,170,150,1180,150,24261,590," 24,341 ",1366," 41,255.93 ",6,Sum of all income groups (agi_stubs 1-6)
MS,28,39364,1200,350,320,2340,320,56836,1200, 57324.000100000005 ,4148," 47,770.00 ",6,Sum of all income groups (agi_stubs 1-6)
MS,28,39365,2910,1190,580,6240,720,158670,2910," 159,941 ",12059," 54,962.54 ",6,Sum of all income groups (agi_stubs 1-6)
MS,28,39366,520,110,200,1040,110,20687,520, 20800.000200000002 ,1143," 40,000.00 ",6,Sum of all income groups (agi_stubs 1-6)
MS,28,39367,5960,1720,1800,11980,1360,335841,5960," 339,082 ",33758," 56,892.95 ",6,Sum of all income groups (agi_stubs 1-6)
MS,28,39401,15580,3060,4130,27950,3020,793944,15580," 800,813 ",82272," 51,400.06 ",6,Sum of all income groups (agi_stubs 1-6)
MS,28,39402,18460,6600,3100,35850,4500,2265351,18460," 2,287,593 ",264630," 123,921.61 ",6,Sum of all income groups (agi_stubs 1-6)
MS,28,39421,1190,290,370,2250,300,59011,1190, 59652.000100000005 ,4576," 50,127.73 ",6,Sum of all income groups (agi_stubs 1-6)
MS,28,39422,2200,630,580,4300,530,117680,2200," 118,682 ",10599," 53,946.36 ",6,Sum of all income groups (agi_stubs 1-6)
MS,28,39423,950,290,240,1850,230,44258,950, 44429.000199999995 ,3085," 46,767.37 ",6,Sum of all income groups (agi_stubs 1-6)
MS,28,39425,630,290,100,1350,150,31972,630," 32,131 ",2275," 51,001.59 ",6,Sum of all income groups (agi_stubs 1-6)
MS,28,39426,7160,3310,920,14990,2040,493528,7150," 497,351 ",46298," 69,462.43 ",6,Sum of all income groups (agi_stubs 1-6)
MS,28,39427,480,140,100,910,130,20418,480," 20,539 ",1347," 42,789.58 ",6,Sum of all income groups (agi_stubs 1-6)
